"Index","First Name","Last Name","Date Of Birth","Height","Weight","Small Shirt Size","Medium Shirt Size","Large Shirt Size","Hair Color"
"0001","Raphael","Blumenthal","07.12.1929","179","95","","X","","Blonde"
"0002","Dany","Bär","03.06.1985","181","93","","X","","Black"
"0003","Candice","Schaich","26.02.1991","171","74","","X","","Black"
"0004","Janosch","Schick","11.07.1935","165","73","X","","","Red"
"0005","Alessio","Weber","30.07.1965","178","80","","X","","Grey"
"0006","Kreshnik","Süss","22.02.1971","189","89","","","X","Blonde"
"0007","Edon","Fisler","06.10.1957","175","83","","X","","Black"
"0008","Vera","Gambacciani","04.12.1952","169","66","","X","","Grey"
"0009","CLELIA","Jordi","04.08.1927","180","90","","X","","Blonde"
"0010","Arbnora","Züst-Gericke","02.09.1955","174","82","","X","","Brown"
"0011","MAEL","Sigrist","25.11.1991","166","75","X","","","Grey"
"0012","Sinan","Speck","05.01.1908","173","74","","X","","Blonde"
"0013","Artan","Barmettler","01.05.73","174","69","","X","","Brown"
"0014","Roman","Horváth","21.10.32","168","68","","X","","Blonde"
"0015","Dafina","Stählin","02.05.78","167","77","X","","","Grey"
"0016","Tessa","Seitler","02.06.1939","177","91","","X","","Brown"
"0017","Michaela","Walpoth","10.01.1912","185","80","","","X","Grey"
"0018","Leila","Spengler","26.04.1939","186","96","","","X","Grey"
"0019","Valentin","Rothenfluh","30.11.1952","160","61","X","","","Blonde"
"0020","Victor","Beytekin","05.01.1926","157","79","X","","","Red"
"0021","Cheyenne","Hohmann Maey","03.02.1925","177","78","","X","","Brown"
"0022","Laurane","Bienek","09.05.1914","178","75","","X","","Grey"
"0023","Dan","Teodoru","10.04.1977","165","60","X","","","Grey"
"0024","Yohan","Kirstein","22.07.1963","176","73","","X","","Grey"
,"Dan","Teodoru",,,,,
"0025","Svenja","Manni","28.04.1922","192","84","","","X","Red"
"0026","Ardit","Seitler","15.09.1978","164","73","X","","","Blonde"
"0027","Kerstin","Sauter","24.02.1917","179","105","","X","","Black"
,"Matthieu","Suter",,,,,
"0028","Paola","Wobmann","25.06.1959","172","76","","X","","Blonde"
,"Antonin","Eyholzer",,,,,
"0029","Leotrim","Jenny","24.01.1969","169","75","","X","","Black"
"0030","Lazar","Züllig","11.09.1958","168","75","","X","","Brown"
